score,date,content,writer_id,like_count,dislike_count,source
6,2026.07.22 16:58,"뭔 얘기를 하고 싶은 건지,,,",7lhm****,1,0,관람객
7,2026.07.21 04:30,재미있게 봤습니당..,dudg****,0,0,관람객
8,2026.07.20 15:24,모든 존재의 매 순간을 담는 것으로 재 해석한 것이 맘에 드네요,psyl****,0,0,관람객
8,2026.07.20 11:25,단순히 공포에만 치중한 평면적인 영화가 아니라 백룸 세계관에 부여한 추가적인 설정이나 서사가 있어 완성도 높은 영화라고 생각합니다,kang****,0,0,관람객
8,2026.07.20 09:14,인간내면을 표현한 추상화를 보는듯한,ji_m****,0,0,관람객
10,2026.07.15 23:36,난 진짜 재밌게봄!! 또보고싶다!!,yama****,1,0,관람객
6,2026.07.15 11:38,게임 원작 최대한 살렸네요.,whit****,2,0,관람객
8,2026.07.13 11:26,백룸의 완전 기본적인 개념만 알고 세계관이나 이런 건 하나도 모르는 채로 관람했는데 괜찮았습니다. 기존에 백룸 모르던 사람도 잘 볼 수 있을 정도로 설정을 짠 것 같고 그 설정도 맘에 들었습니다,soyi****,1,0,관람객
1,2026.07.13 02:12,공포 분량이 짧은것도 문젠데 서사도 너무 조잡하고 흥미롭지가 않다,cano****,13,3,관람객
10,2026.07.10 19:37,"샤이닝의 레퍼런스 하에 생산된, 또 한편의 걸출한 유산. PS. 시각의 초점을 일부로 혼란하는 미장센의 연출, 볼 땐 짜증났지만 결론적으론 훌륭했다.",gold****,0,0,관람객
6,2026.07.10 00:08,‘백룸’을 설명하는 이야기는 다소 모호하고 혼란스러운 상태라 호불호가 있을 수 있다. 하지만 공간이 주는 압박감과 두려움을 제대로 살린 장면은 ‘백룸’의 팬에게 충분히 만족스러울 것이다.,zxc1****,2,0,관람객
8,2026.07.04 11:20,영화끝나고 화장실을 찾으러 나가는 공간이 백룸이였다..,jund****,3,7,관람객
4,2026.07.01 10:06,노잼  지루해서 졸고 어떤사람은 중간에 나가드라,dudg****,19,5,관람객
6,2026.06.29 16:11,여긴 어디? 나는 누구인가?,dydw****,5,2,관람객
10,2026.06.29 11:50,감독의 꽃길을 응원합니다,agyn****,4,8,관람객
6,2026.06.28 19:46,재밌긴 한데 여주인공 존나 답답해서 가면 갈수록 극혐임,juyo****,3,3,관람객
6,2026.06.27 14:08,영화관가서 꼭 봐야합니다. 돈이 아깝다는 생각은 안들정도의 영화에요. 딱 그정도입니다,momz****,1,11,관람객
1,2026.06.26 21:42,캐릭터들이 누가 더 바보같고 답답한지 경쟁하는거 같음,oron****,18,5,관람객
7,2026.06.26 20:52,무한하고 미스테리한 공간과 미지의 존재가 주는 의문감에 몰입하면서 보았다,oosu****,0,0,관람객
10,2026.06.26 10:39,A24가 대탈출을 만든다면 이런 느낌일까대대대대탈출을 본 느낌,jaem****,2,1,관람객
5,2026.06.25 18:32,이해하기 어려운 영화였다.,nabi****,8,0,관람객
7,2026.06.25 06:02,당신의 기억은 얼마나 정확한가요.,kimh****,1,3,관람객
