별점,날짜,내용,정제된_내용,요일,리뷰길이,tfidf_같아요,tfidf_공간이,tfidf_너무,tfidf_만드는,tfidf_만큼,tfidf_무서움,tfidf_백룸,tfidf_백룸에,tfidf_봤는데,tfidf_봤습니다,tfidf_영화,tfidf_이상한,tfidf_이해하기,tfidf_재밌게,tfidf_주인공이,tfidf_죽을,tfidf_중간에,tfidf_중독되며,tfidf_중반부터,tfidf_지루해도,tfidf_지루했어요,tfidf_직접,tfidf_진짜로요,tfidf_찝찝했지만,tfidf_차분히,tfidf_참고,tfidf_창조자가,tfidf_초반엔,tfidf_최고,tfidf_최악입니다
8,2026-07-23,어지러움을 참고 은근 중독되며 봄,어지러움을 참고 은근 중독되며 봄,Thursday,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0
1,2026-07-22,개최악영화 내돈내놔 내돈이장난같아,개최악영화 내돈내놔 내돈이장난같아,Wednesday,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2026-07-22,최악입니다. 나오는 사람들 잤다는 얘기가 많았는데 공감갔어요,최악입니다 나오는 사람들 잤다는 얘기가 많았는데 공감갔어요,Wednesday,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,2026-07-22,너무재밌고 생각보다 무서웠어요,너무재밌고 생각보다 무서웠어요,Wednesday,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2026-07-22,설정 때문에 볼만함,설정 때문에 볼만함,Wednesday,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-21,무서워잉ㅜ.ㅜ 썸남이랑 봤는데ㅜ,무서워잉 썸남이랑 봤는데,Tuesday,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-21,너무 좋고 이런 수수께기같은 스토리 너무 제 취향이엿어요,너무 좋고 이런 수수께기같은 스토리 너무 제 취향이엿어요,Tuesday,31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-21,"무섭고 이상함, 마지막 이해안됨",무섭고 이상함 마지막 이해안됨,Tuesday,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2026-07-21,어린친구의 상상력이 대단하다,어린친구의 상상력이 대단하다,Tuesday,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-21,소재가넘사벽 걍 너무 재밌고 신기하고 새로움 무서움,소재가넘사벽 걍 너무 재밌고 신기하고 새로움 무서움,Tuesday,28,0.0,0.0,0.7071067811865475,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-21,긴장감과 공포감이 잘 느껴졌다,긴장감과 공포감이 잘 느껴졌다,Tuesday,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
