movie,site,rating,review,date
백룸,megabox,8,어지러움을 참고 은근 중독되며 봄,2026-07-23
백룸,megabox,1,개최악영화 내돈내놔 내돈이장난같아,2026-07-22
백룸,megabox,1,최악입니다. 나오는 사람들 잤다는 얘기가 많았는데 공감갔어요,2026-07-22
백룸,megabox,10,너무재밌고 생각보다 무서웠어요,2026-07-22
백룸,megabox,8,설정 때문에 볼만함,2026-07-22
백룸,megabox,10,무서워잉ㅜ.ㅜ 썸남이랑 봤는데ㅜ,2026-07-21
백룸,megabox,10,너무 좋고 이런 수수께기같은 스토리 너무 제 취향이엿어요,2026-07-21
백룸,megabox,10,"무섭고 이상함, 마지막 이해안됨",2026-07-21
백룸,megabox,8,어린친구의 상상력이 대단하다,2026-07-21
백룸,megabox,10,소재가넘사벽 걍 너무 재밌고 신기하고 새로움 무서움,2026-07-21
백룸,megabox,10,긴장감과 공포감이 잘 느껴졌다,2026-07-21
백룸,megabox,8,이 영화는 인터넷괴담 및 밈 창조자가 직접 감독역을 맡아서 만든 작품이다. 그럼에도 불구하고 기존에 알던 모습하고 세세하게 다른 부분이 있다는건 감독의 기묘한 욕심으로 추정된다.,2026-07-21
백룸,megabox,9,익숙하지만 이상한 공간이 만드는 긴장감을 제대로 표현했다,2026-07-20
백룸,megabox,7,백룸 그 자체의 분위기가 기괴하고 좋았음,2026-07-20
백룸,megabox,8,"중간에 주인공이 바뀜, 깜놀보다는 심리적 공포감 조정해서 좋음",2026-07-20
백룸,megabox,10,이해하기 난해하지만 엄청 잘 만들어진 영화,2026-07-20
백룸,megabox,6,미국판 B급영화이자 저예산 영화.,2026-07-20
백룸,megabox,10,"이상한 나라의 클락 아저씨, <Alice in Wonderland>의 21세기 어른들의 잔혹 동화 버전",2026-07-20
백룸,megabox,8,공간의 무서움 잘표현함,2026-07-20
백룸,megabox,9,잘보았어요~ 잼나요,2026-07-20
백룸,megabox,10,스릴영화가 잘만들어졌네요,2026-07-19
백룸,megabox,10,⭐️⭐️⭐️⭐️⭐️,2026-07-19
백룸,megabox,9,백룸 세계관을 모르는 상태로봐서 그런지 내용 이해는 전반적으로 못했다 세계관부터 이해한뒤에 보면 좋을영화,2026-07-19
백룸,megabox,8,재밌긴했어요 진짜로요,2026-07-19
백룸,megabox,7,끝나도 머리가 복잡한 영화,2026-07-19
백룸,megabox,8,이 공간이 좋아 남기로 했다,2026-07-19
백룸,megabox,4,정신과 의사가 정신이 안 좋아지는 내용입니다...,2026-07-19
백룸,megabox,1,바이럴 된 만큼 기대하고 봤는데 보는 내내 지루했어요,2026-07-19
백룸,megabox,10,"저는 백룸에 가게 된다면,, 금방 죽을 것 같아요",2026-07-19
백룸,megabox,10,전하자는 메시지가 뭔지는 모르겠음,2026-07-18
백룸,megabox,10,재밋엇다 재밋어!!,2026-07-18
백룸,megabox,3,이해하기 어렵지만 굿,2026-07-18
백룸,megabox,10,저두 백룸에 갇힌거 같아요,2026-07-18
백룸,megabox,3,불면증에 특효약 최고,2026-07-18
백룸,megabox,9,압도적인 시각적 공포와 연출을 보여준 작품,2026-07-18
백룸,megabox,6,내 스타일은 아닌데 잘만들엇긴해요,2026-07-18
백룸,megabox,10,배우 연기가 미쳤음,2026-07-18
백룸,megabox,5,스토리는 잘 모르겠다... 멀미하시는 분은 뒷자리 추천드립니다,2026-07-17
백룸,megabox,10,몽환적인.. 먼가 드림코어 느낌의 꽤나 흥미로운 영호였어용,2026-07-17
백룸,megabox,10,좋았어요 스릴도있었고 연기자들이 잘하셨어요,2026-07-17
백룸,megabox,10,초반엔 조금 지루해도 중반부터 포텐 터지기 시작항,2026-07-17
백룸,megabox,7,색다른 장르의 영화,2026-07-17
백룸,megabox,8,재밌긴 재밌는데 살짝 이해가 안되는것 같기도 합니다,2026-07-17
백룸,megabox,7,심오하고 어렵습니다,2026-07-17
백룸,megabox,10,재밌게 잘 봤습니다 :),2026-07-17
백룸,megabox,10,재미있고 흥미로워요,2026-07-17
백룸,megabox,10,인간의 원초적인 공포는 미지에서로부터 온다,2026-07-17
백룸,megabox,7,나름 분위기있고 오싹오싹,2026-07-17
백룸,megabox,1,멀미 유발 영화… 소재말곤 볼 게 없음,2026-07-17
백룸,megabox,7,백룸은 뭐랄까. 감독이 어떤 이야기를 전하고 싶었던 걸까 생각하게 만드는 영화다. 젊은 감독인 만큼 독특한 결말을 선택해서 신선한 감도 있다. 약간은 찝찝했지만 차분히 보기 좋다,2026-07-17
백룸,megabox,10,3번 봤습니다. 1번만 봐도 다 이해할 수 있지만 전 재밌게 봐서 그녕 2번 더 봤습니다. 왕추천,2026-07-17
백룸,megabox,10,종일 엄마 손에 끌려 이케아를 헤매던 조카가 돌아오는 차 안에서 유튜브를 보다가 잠이 들면 저런 꿈을 꿀 것이다,2026-07-17
백룸,megabox,8,무서운 거 아예 못 보는 사람 기준 : 점프 스퀘어는 견딜만했고 고어틱한 분장 멋있어 보였고 장면 구도 마음에 들었지만.. 빨리 영화가 끝났으면 좋겠다는 가슴답답한 느낌 들었어요,2026.07.16
백룸,megabox,10,재미있게 잘 봤습니다.,2026.07.16
백룸,megabox,10,음...이런영화구나,2026.07.16
백룸,megabox,5,내 취향은 아니긴한데 볼만함 추천,2026.07.16
백룸,megabox,10,영상 연출이 너무 좋았음,2026.07.16
백룸,megabox,10,기분나쁜 느낌을 너무 잘표현한..!,2026.07.16
백룸,megabox,10,이동진이 10점이면 나도 10점 줘야,2026.07.16
백룸,megabox,10,점프 스퀘어는 적은데 청각적으로 갑자기 시끄러워지는 구간 있음,2026.07.16
백룸,megabox,7,스토리가 아쉽다 영상미는 아름답다,2026.07.15
백룸,megabox,8,조금 지릴뻔했어요. 사실 조금 지렸어요,2026.07.15
백룸,megabox,10,정말 몰입이 잘되고 그 미세한 호흡 떨림에 마지막까지 여운을 주는 영화,2026.07.15
백룸,megabox,6,백룸이라는 좋은 소재를 가지고 아쉬운 결과를 만들어냈다,2026.07.15
백룸,megabox,8,시작은 좋은데 끝이 살짝 아쉽다,2026.07.15
백룸,megabox,8,재밌게 관람했습니다,2026.07.15
백룸,megabox,8,유튜브에서 백룸이라는 컨텐츠를 처음 알게되었고 영화화 한다길래 보고왔다 스토리도 괜찮고 좋았다,2026.07.15
백룸,megabox,10,재밌었고 흥미로운 설정이 좋았습니다,2026.07.15
백룸,megabox,8,몰입도는 좋다 보고나면 큰 여운은없다,2026.07.15
백룸,megabox,1,정확히 7분 보고 잠,2026.07.15
백룸,megabox,8,공간이 주는 평온함,2026.07.15
백룸,megabox,10,백룸의 갇힌 공간을 트라우마와 결합하는 신선함이 좋았음,2026.07.15
백룸,megabox,10,아무것도 모르고 봤는데 꽤 괜찮았음!,2026.07.15
백룸,megabox,10,재밌었지만 끝이 좀 애매,2026.07.14
백룸,megabox,7,오오 백룸 들어갔네,2026.07.14
백룸,megabox,7,"몰입감 있게, 다시 생각해볼만한 떡밥이 많은 잘 만든 영화",2026.07.14
백룸,megabox,8,백룸 문화를 알지 못하고 봐서 아쉽네요.,2026.07.14
백룸,megabox,10,백룸에 대해서 아무것도 모르고보면 이해하기 어려울듯,2026.07.14
백룸,megabox,7,10점까지는 솔직히 모르겠으나 재밌게 봄,2026.07.14
백룸,megabox,8,마음이 만들어 낸 감옥. 끝까지 따라가게 되는 이야기.,2026.07.14
백룸,megabox,10,영상미 굿 스토리 잘 모르겠다,2026.07.14
백룸,megabox,10,장르창시자의 작품을 안볼 순 없다.,2026.07.14
백룸,megabox,10,"재미있스무니다아이 ,",2026.07.13
백룸,megabox,8,상영관을 나오면 현실감이 없어지는..,2026.07.13
백룸,megabox,1,기대없이 봤지만 더 기대이하입니다..재미없어요,2026.07.13
백룸,megabox,10,공포와 sci-fi가 혼합되어 좋았습니다,2026.07.13
백룸,megabox,10,실수로 지렸어요 안 무섭다고 한 새키 누구냐,2026.07.13
백룸,megabox,5,어려운 영화다.. 잘 모르겠음,2026.07.13
백룸,megabox,10,백룸 팬은 보세요 나머지는.. 음..,2026.07.13
백룸,megabox,9,도무지 결론이 없는 결말이 계속 되뇌이게 하는 원동력,2026.07.13
백룸,megabox,10,재밌게 봤어요 추천 ㅎㅎ,2026.07.13
백룸,megabox,10,난해한 내면을 비추는 back room,2026.07.13
백룸,megabox,7,기억하기를 멈추지 마,2026.07.13
백룸,megabox,5,난잡하다. 백룸의 공포는 고요함이었을텐데.,2026.07.13
백룸,megabox,6,아무것도 모르고 보니 아무것도 모르겠음.,2026.07.13
백룸,megabox,10,재미가 있다. 👍,2026.07.13
백룸,megabox,10,이걸 십대감독이 만들었다니,2026.07.12
백룸,megabox,10,낮시간대에 보면 무서운데 가오잡느라 보러온 애들 많아서 소란스러우니 주의하시길...,2026.07.12
백룸,megabox,8,2005년생 감독~~,2026.07.12
백룸,megabox,7,나도 백룸에 갇힌 기분...,2026.07.12
백룸,megabox,7,관람 오늘 하루도 화이팅,2026.07.12
백룸,megabox,10,무슨내용인지 모르겠음 재미는있음,2026.07.12
백룸,megabox,7,기억과 상처의 무의식(백룸) 탐험,2026.07.12
백룸,megabox,10,시간 가는 줄 몰랐어요 무서워요,2026.07.12
백룸,megabox,8,생각할거리가 많아서 좋았어요,2026.07.12
백룸,megabox,10,생각이 많고 서사의 맥락을 잘 파악하는 사람한테는 꼭 추천합니다,2026.07.12
백룸,megabox,9,어디에나 있고 어디에도 없다,2026.07.12
백룸,megabox,8,"아쉬운 전달력, 그럼에도 일정한 호흡으로",2026.07.11
백룸,megabox,10,재밌는데 스릴은 조금 떨어지는 편.,2026.07.11
백룸,megabox,10,계속 미스터리해서 재밌다. 백룸을 아예 모르고 봤지만 정말 재밌게 봤다.,2026.07.11
백룸,megabox,7,무의식적으로 깔려있는 나태함의 편안함에 빨려들어가지 않도록,2026.07.11
백룸,megabox,9,소름끼치는 느낌을 잘 살려서 좋았습니다,2026.07.11
백룸,megabox,7,재미있게 잘 봤습니다.,2026.07.11
백룸,megabox,10,기대 안하고 봤는데 좋았습니다. 속편 나오겠죠?,2026.07.11
백룸,megabox,8,전 너무너무 무서웠어요.. 오슷이 진짜 사람 소름끼치게 만들어ㅜㅠㅠ,2026.07.11
백룸,megabox,7,아따 재미지구마잉~~,2026.07.11
백룸,megabox,10,무슨 내용인지도 모르겠고 노잼,2026.07.11
백룸,megabox,10,생각보다 집중해서 재미있게 봤습니다,2026.07.11
백룸,megabox,7,무섭고 깜짝깜짝 놀래기만 하고 무슨 내용인지 잘 모르겠어요,2026.07.11
백룸,megabox,9,백룸(Backrooms),2026.07.11
백룸,megabox,10,정신과 의사가 보면 좋을 영화. 재미있게 봤어요.,2026.07.11
백룸,megabox,8,유튜브에서 백룸 영상 첨 봤을 때 생각난다,2026.07.11
백룸,megabox,9,백룸이 나오는 부분에서 언제 무슨일이 일어날까 심장 쫄리며 봤다. 소리에서 나는 시각적 효과가 컸던 것 같다. 재미있었으나 마지막부분은 해석을 찾아봐야 이해가 잘 될것같다,2026.07.10
백룸,megabox,8,쥭인당 스고잉~~ 빽룸 오이시~~,2026.07.10
백룸,megabox,3,전체적으로 내 스타일도 아니고 지루한부분이있었다,2026.07.10
백룸,megabox,10,인간이 문제다. 백룸포탈 메워라,2026.07.10
백룸,megabox,6,내용이 뭔가 별로 없는듯,2026.07.10
백룸,megabox,10,재밌었으니 추천합니다.,2026.07.10
백룸,megabox,1,미치겠다 2시간 내내 이게 뭔지 집중이 안되는 영화하고 보르기에도 기괴한 영상 편집물,2026.07.10
백룸,megabox,4,순수하게 재미가 없습니다,2026.07.10
백룸,megabox,7,동생이랑 같이 봐서 좋았어욤,2026.07.10
백룸,megabox,10,간밤에 너무 재미있ㅅ게 잘 봤습니다,2026.07.10
백룸,megabox,8,8번 봤습니다. 다소 아쉬운 부분이 있긴하나 만족합니다.,2026.07.09
백룸,megabox,9,너무 거대한 백룸. 공간만으로 압도당함.,2026.07.09
백룸,megabox,10,분위기나 연출이 좋았습니다 묘하게 철학적이고... 젊은 감독이라는데도 잘만든듯,2026.07.09
백룸,megabox,10,"백룸 게임,영상 매니아로서 너무 재밌게 봤다 2편도 나왔으면",2026.07.09
백룸,megabox,10,Don't want you being so upset about me,2026.07.09
백룸,megabox,9,지루하진 않다 볼만하다 근데 어렵다...,2026.07.09
백룸,megabox,7,약간 기괴한 느낌이에요..결말이 좀 아쉽다?,2026.07.09
백룸,megabox,7,열린결말 좋아하는 분들이면 볼만하고 확실한 결말이 좋으신 분들한테는 좀 답답할 수 있습니다. 관람 후 몇개의 궁금증은 있었지만 전체적으로 볼만했습니다,2026.07.09
백룸,megabox,10,무서워요 진짜로 안무서울줄 알고봤는데 쫄보는 혼자가지말길,2026.07.09
백룸,megabox,1,정부해서할인해줘도 아깝,2026.07.09
백룸,megabox,8,영화의 분위기는 상당히 괜찮았으나 스토리가 조금 난해하여 기본지식을 어느정도 가지고 보는게 좋겠습니다.,2026.07.09
백룸,megabox,8,기묘한 꿈을 꾸는 것 같은 느낌.. 무서울까봐 엄청 걱정 했는데 생각보다는 안 무서웠습니다,2026.07.09
백룸,megabox,9,"괴이하지만, 인간의 경험과 그로 인한 기억과 상처가 삶에 얼마나 지대한 영향을 주는 지를 돌아보게 하는 영화. 그로 인해 부정할 수 없이 스스로를 돌아보게 되는 영화.",2026.07.09
백룸,megabox,6,갈매기는 왜 백룸에 들어갔을까...,2026.07.09
백룸,megabox,10,뭔가 신박해서 재밌어보여가지고 궁금했는데 이제야 봤네여 흑 스토리는 사실 이해하기가 힘든 부분들이 많았어요 근데 확실한건 노랗고 광활한 공간에서 오는 기괴함이 소름끼치고 무서웠던ㅠ,2026.07.09
백룸,megabox,6,뭔소린지 모르게떠염,2026.07.08
백룸,megabox,7,공간이 주는 공포 그저 그럼,2026.07.08
백룸,megabox,4,스토리 내용이 좀 어렵네요,2026.07.08
백룸,megabox,8,초중반 서사가 너무 길고 이게 공포인지는 모르겠네요 공간이 주는 섬뜩함을 표현한 예술영화같다랄까? 신박해서 뭐 괜찮긴 했습니다,2026.07.08
백룸,megabox,7,다소 난해한 이야기 전개,2026.07.08
백룸,megabox,10,친절하지 않은 스릴러라 오히려 더 긴장하고 봄,2026.07.08
백룸,megabox,7,보고나면 대체 이게 뭐지??? 하는 영화. 정말 볼만한 영화지만 확실히 호불호갈릴드스 난 호였음. 백룸에 하나도 관심이 없었는데 영화 관람이후 백룸의 세계관에 정말 큰 관심을 가지,2026.07.08
백룸,megabox,7,난해하고 심오한 인간내면,2026.07.08
백룸,megabox,6,끝없는 기억의 미로에서 고통받고 또 다른 기억을 마주한다,2026.07.08
백룸,megabox,10,난해하다! 이거 만든 감독 대단하군!!,2026.07.08
백룸,megabox,1,진짜 왜보냐 내용도 없고 진짜 개별로다,2026.07.07
백룸,megabox,8,오랜만에 극장에서 본 정말 괜찮은 영화,2026.07.07
백룸,megabox,6,딱 보통인 영화 백룸이 이야기가 새롭겠다했는데,2026.07.07
백룸,megabox,7,전체적인 분위기는 되게 실감나고 스릴있었습니다! 배우분들도 연기 짱이네요,2026.07.07
백룸,megabox,7,백룸이란 결국 인간 내면에 대한 표현,2026.07.07
백룸,megabox,7,스토리같은건 잘 모르겠는데 사운드가 너무 좋았어요,2026.07.07
백룸,megabox,8,"처음엔 불편했는데, 볼수록 이런 불편함의 연출이 좋았습니다. 2시간 동안 불편하다가, '아, 영화였다'하고 끝나는 기분, 제법 몰입이 됐습니다.",2026.07.07
백룸,megabox,8,"실험적인, 10% 부족하지만 미술감과 상상력을 자극하기에 충분 30분만 길게 편집했으면 아주 좋았을...극장에서 볼 령화",2026.07.07
백룸,megabox,10,내가 알던 백룸은 이런거지!! 사운드가 이 영화를 공포영화로 만들었다고 해도 과언이 아닌 일반적인 공포영화와는 다른 최고의 영화였다 후속작이 기대됨!,2026.07.07
백룸,megabox,7,사전지식이 있으면 더 재미있을 듯,2026.07.07
백룸,megabox,4,겉치장만 번드르르 텅텅,2026.07.07
백룸,megabox,10,일단 난 백룸 드가면 못빠져나올듯,2026.07.07
백룸,megabox,10,되게 재밌어요 해석하기 좀 어려운 부분도 있지만 재밌어요!!!,2026.07.07
백룸,megabox,9,영상자체는 너무 좋았지만 내용은 즉각적으로 이해되지는 않았다.,2026.07.06
백룸,megabox,7,공포라기 보단 색다른 영화. 그냥 뻔하지 않아서 좋았음..,2026.07.06
백룸,megabox,10,백룸 재밌어요 난해하긴해요,2026.07.06
백룸,megabox,5,기대에 못 미치는 영화네요.. 많이 아쉽네요,2026.07.06
백룸,megabox,10,욜라리 무서웟긔...이게 MZ공포구나..,2026.07.06
백룸,megabox,9,남자배우 코가 굉장하다!,2026.07.06
백룸,megabox,10,너무 생략된 것들이 많았지만 재밌었습니다.,2026.07.06
백룸,megabox,10,영화는 너무 쟈미있고 무서웠지만 많이 무섭지는 않았다.,2026.07.06
백룸,megabox,7,으스스한 분위기와 아쉬운 러닝타임,2026.07.06
백룸,megabox,8,몰입해서 잘 보았습니다 ^^,2026.07.06
백룸,megabox,8,흥미롭게 잘 보았습니다,2026.07.06
백룸,megabox,9,너무너무 재밋엇으음,2026.07.06
백룸,megabox,9,깜놀 크게없어서 좋았음,2026.07.06
백룸,megabox,6,글냥 볼만함.. 세계관이 강한 영화는 설명이 불친절할수밖에 없나,2026.07.06
백룸,megabox,7,백룸 재밌어요 백룸 백룸,2026.07.06
백룸,megabox,7,설정을 알고봐서 나름 재미있게 봤습니다. 다만 친구에게 추천하기엔 조금 애매..,2026.07.06
백룸,megabox,10,백룸이라는 매력적인 설정을 잘 보여준 영화!,2026.07.05
백룸,megabox,6,연출이 좋고 영상미가 이쁘지만 뭘 정확히 표현하고자 했는지 알기 어려운 난해한 스토리가 걸림돌.,2026.07.05
백룸,megabox,7,스토리가 신박해서 볼만했습니다,2026.07.05
백룸,megabox,8,"신박한 세계관, 압도적인 분위기, 해석 마려운 스토리, 추격신과 신문신 사이를 연결짓는 추격신이 더 길었으면 좋았겠다.. 싶은 아쉬움",2026.07.05
백룸,megabox,8,생각보다 무섭고 스릴넘침,2026.07.05
